ondernemingsnummer;aantal;omzet;balanstotaal;framework;soort;sector
832602171;8;619384182.0;15421555;Nee;None;Overige financiï¿½le dienstverlening
402891577;38;189299952.0;33017356;Nee;None;Groothandel in dranken, algemeen assortiment
876344520;21;168367243.0;26009834;Nee;B2B;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
473193219;24;140216139.0;39834202;Nee;None;Groothandel in gereedschapswerktuigen
860353277;16;125440890.0;16567941;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
401874760;170;138294633.0;32423409;Nee;None;Groothandel in installatiemateriaal voor loodgieterswerk en verwarming
846855431;7;169402258.0;38296496;Nee;None;Detailhandel via postorderbedrijven of via internet
400704624;72;122631285.0;22322475;Nee;None;Niet
402475962;162;114963686.0;27283891;Nee;None;Groothandel in installatiemateriaal voor loodgieterswerk en verwarming
462285469;90;109602134.0;38083098;Nee;None;Groothandel in farmaceutische producten
835040138;68;98465524.0;36960753;Nee;None;Overige vervoerondersteunende activiteiten
434815960;128;98074768.0;30545080;Nee;None;Groothandel in machines voor de mijnbouw, de bouwnijverheid en de weg
451787990;100;92915795.0;29521002;Nee;None;Computerconsultancy
408463337;58;90733325.0;17014404;Nee;None;Groothandel in bouwmaterialen, algemeen assortiment
479966787;171;79340261.0;29630954;Nee;None;Vervaardiging van cacao, chocolade en suikerwerk
403114380;121;77639779.0;25193252;Nee;None;Groothandel in elektrisch materiaal, inclusief installatiemateriaal
883914874;248;76915417.0;42390861;Nee;B2C;Overige vrachtbehandeling, exclusief in zeehavens
423029569;79;76457962.0;37161492;Nee;None;Groothandel in elektrische huishoudelijke apparaten en audio
405839783;83;75940726.0;29028429;Nee;None;Groothandel in dranken, algemeen assortiment
405670727;40;74277714.0;27348061;Nee;None;Groothandel in andere voedingsmiddelen, n.e.g.
425053802;0;0.0;0;Nee;0;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
451428496;176;71793365.0;31170567;Nee;None;Groothandel in installatiemateriaal voor loodgieterswerk en verwarming
400617324;161;70179123.0;34120728;Nee;None;Groothandel in andere machines en werktuigen, n.e.g.
644938548;88;70023179.0;19253427;Nee;None;Vervaardiging van andere delen en toebehoren van auto's
400618710;76;68098208.0;28071474;Nee;None;Groothandel in machines voor de mijnbouw, de bouwnijverheid en de weg
400924952;168;67667236.0;32382860;Nee;None;Zuivelfabrieken en kaasmakerijen
466288601;183;67422443.0;23739737;Nee;None;Verhuur en lease van kantoormachines, inclusief computers
440795120;15;67127447.0;27930738;Nee;None;Ontwerpen van textielpatronen, kleding, juwelen, meubels en decoratieartikelen
866763393;101;66404829.0;37493226;Nee;None;Vervaardiging van verf, vernis e.d., drukinkt en mastiek
821129645;74;65612068.0;18728933;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
478391924;0;0.0;0;Nee;0;Groothandel in farmaceutische producten
441665942;86;63307162.0;31102575;Nee;None;Groothandel in farmaceutische producten
403075481;142;62045653.0;34591299;Nee;None;Groothandel in farmaceutische producten
845858707;5;61490289.0;26260367;Nee;None;Uitzendbureaus
424188423;0;0.0;0;Nee;0;Overige vervoerondersteunende activiteiten
460802557;16;58750722.0;25357169;Nee;None;Groothandel in chemische producten voor industrieel gebruik
474708991;121;58750594.0;29949980;Nee;None;Groothandel in farmaceutische producten
403048064;40;58345072.0;35048293;Nee;None;Groothandel in farmaceutische producten
403181686;6;57284726.0;34551148;Nee;None;Handelsbemiddeling gespecialiseerd in andere goederen
457151892;112;57200886.0;24702364;Nee;None;Opslag in koelpakhuizen en overige opslag
895469554;30;56852560.0;17108312;Nee;None;Groothandel in delen en toebehoren van auto's
432392544;137;56526552.0;41750711;Nee;None;Vervaardiging van andere elektrische en elektronische kabels
438398032;11;55459100.0;13392553;Nee;None;Groothandel in sport
412595735;75;55029652.0;30265297;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
861469371;52;53858727.0;9750022;Nee;B2B;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
441532023;157;53463185.0;25481846;Nee;None;Gegevensverwerking, webhosting en aanverwante activiteiten
461882326;20;52702622.0;23135553;Nee;None;Reclamebureaus
841648610;41;52582173.0;15660765;Nee;None;Detailhandel via postorderbedrijven of via internet
426246407;75;52446280.0;23743740;Nee;None;Groothandel in kantoor
881901036;8;51993964.0;35360314;Nee;None;Groothandel in kleding, met uitzondering van werk
455064414;190;50693141.0;26329043;Nee;None;Vervaardiging van machines en apparaten voor de koeltechniek en de klimaatregeling, voor niet
476282965;0;0.0;0;Nee;0;Groothandel in installatiemateriaal voor loodgieterswerk en verwarming
432284161;91;50512371.0;19982154;Nee;None;Groothandel in bouwmaterialen, algemeen assortiment
421435405;0;0.0;0;Nee;0;Groothandel in auto's en lichte bestelwagens (= 3,5 ton)
404889282;31;50066316.0;21894637;Nee;None;Groothandel in niet
428769494;207;49139355.0;28323007;Nee;None;Groothandel in metalen en metaalertsen
403769032;206;42248119.0;11698424;Nee;None;Groothandel in parfumerieï¿½n en cosmetica
883315652;0;0.0;0;Nee;0;Groothandel in farmaceutische producten
863205176;295;70.0;0;Nee;None;Groothandel in andere kantoormachines en kantoorbenodigdheden, met uitzondering van computers en randapparatuur
433279402;115;48778419.0;125412005;Nee;None;Activiteiten van hoofdkantoren
465870115;62;48771926.0;448852904;Nee;None;Verhuur en lease van andere machines en werktuigen en andere materiï¿½le goederen
407565096;60;48616310.0;14596052;Nee;None;Groothandel in vlees en vleesproducten
430744534;46;48161146.0;32831483;Nee;None;Groothandel in bouwmaterialen, algemeen assortiment
400388581;252;47525888.0;89732103;Nee;None;Vervaardiging van hijs
443176271;0;0.0;0;Nee;0;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
403047965;62;46770171.0;25980928;Nee;None;Groothandel in farmaceutische producten
477140426;182;45696621.0;134114126;Nee;None;Activiteiten van hoofdkantoren
419044354;0;0.0;0;Nee;0;Groothandel in andere machines en werktuigen, n.e.g.
826288857;50;46103405.0;10777082;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
542547130;0;0.0;0;Nee;0;Schrijven van computerprogramma's
451150859;47;45914542.0;10242175;Nee;None;Groothandel in vlees en vleesproducten, uitgezonderd vlees van wild en van gevogelte
415734872;50;45781143.0;30257042;Nee;None;Groothandel in kleding, met uitzondering van werk
564907115;32;45616289.0;86653828;Nee;None;Groothandel in farmaceutische producten
867270070;33;44623675.0;37896721;Nee;None;Teelt van pit
735655027;239;45270443.0;28274330;Nee;None;Activiteiten van hoofdkantoren
463370780;45;45269096.0;16834945;Nee;None;Groothandel in auto's en lichte bestelwagens (= 3,5 ton)
442338311;111;45149158.0;73272456;Nee;None;Vervaardiging van gegolfd papier en golfkarton en van verpakkingsmateriaal van papier en karton
440739393;5;44959361.0;24367363;Nee;None;Handelsbemiddeling in auto's en lichte bestelwagens (= 3,5 ton)
477562870;39;44886276.0;16209879;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
450258756;124;44882358.0;19713300;Nee;None;Vervaardiging van medische en tandheelkundige instrumenten en benodigdheden
826654883;52;44851943.0;17925230;Nee;None;Groothandel in farmaceutische producten
886537933;83;44832008.0;42563686;Nee;None;Groothandel in farmaceutische producten
453722745;109;70.0;0;Nee;None;Groothandel in farmaceutische producten
652780207;0;0.0;0;Nee;0;Holdings
400942669;90;44426239.0;45056424;Nee;None;Vervaardiging van verpakkingsmateriaal van kunststof
406467315;45;44335316.0;13861964;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
404048451;0;0.0;0;Nee;0;Vervaardiging van huishoudelijke en sanitaire papierwaren
403091121;114;44222249.0;105276207;Nee;None;Vervaardiging van zeep en wasmiddelen
434697184;131;43760154.0;43856177;Nee;None;Schrijven van computerprogramma's
464842608;22;43755689.0;63994957;Nee;None;Holdings
417894905;39;43683933.0;25514599;Nee;None;Overige posterijen en koeriers
401866347;26;43102806.0;71690521;Nee;None;Groothandel in installatiemateriaal voor loodgieterswerk en verwarming
473923093;31;42933719.0;11828719;Nee;B2B;Overige zakelijke dienstverlening, n.e.g.
400724222;179;42773905.0;33286205;Nee;None;Vervaardiging van bier
407089994;81;42692632.0;12922979;Nee;None;Groothandel in farmaceutische producten
428276378;29;42371488.0;14644343;Nee;None;Groothandel in elektrisch materiaal, inclusief installatiemateriaal
457113389;94;42208371.0;34379408;Nee;None;Overige verwerking en verwijdering van ongevaarlijk afval
402936119;77;42110796.0;17588669;Nee;None;Groothandel in installatiemateriaal voor loodgieterswerk en verwarming
402642545;248;70.0;0;Nee;None;Koudvervormen of koudfelsen
440316949;0;0.0;0;Nee;0;Vervaardiging van ander schrijn
430605764;197;70.0;0;Nee;None;Computerconsultancy
415229482;5;41213210.0;5501682;Nee;None;Groothandel in groenten en fruit, m.u.v. consumptieaardappelen
861510745;36;41175483.0;26616489;Nee;None;Groothandel in andere voedingsmiddelen, n.e.g.
428666853;148;41112949.0;33141458;Nee;None;Reisbureaus
447827521;24;41012009.0;19071605;Nee;None;Groothandel in reinigingsmiddelen
423051642;42;40764231.0;8245034;Nee;None;Groothandel in farmaceutische producten
454234370;107;40707772.0;16009625;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
460337749;121;40610600.0;14577375;Nee;None;Productie van televisieprogramma's
449223727;151;40431899.0;19819900;Nee;None;Holdings
417694074;15;40404156.0;13815330;Nee;None;Niet
458388445;21;40193710.0;32200186;Nee;None;Groothandel in farmaceutische producten
466614837;159;39993949.0;46407042;Nee;None;Groothandel in andere machines en werktuigen, n.e.g.
431100167;20;39703518.0;5010183;Nee;None;Groothandel in bouwmaterialen, algemeen assortiment
403208016;28;39653218.0;10794154;Nee;None;Groothandel in elektrische huishoudelijke apparaten en audio
872793825;8;39648740.0;26051275;Nee;None;Overige zakelijke dienstverlening, n.e.g.
886476763;0;0.0;0;Nee;0;Overige ondersteunende activiteiten in verband met financiï¿½le diensten, exclusief verzekeringen en pensioenfondsen, n.e.g.
864422230;10;39601732.0;9544357;Nee;None;Groothandel in andere intermediaire producten, n.e.g.
542825064;11;39484134.0;38365798;Nee;None;Groothandel in farmaceutische producten
421120154;71;39176770.0;61864167;Nee;None;Vervaardiging van gegolfd papier en golfkarton en van verpakkingsmateriaal van papier en karton
644915188;36;39162358.0;38118122;Nee;None;Vervaardiging van medische en tandheelkundige instrumenten en benodigdheden
416578970;36;38861487.0;23873690;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
844624827;124;38782173.0;28449518;Nee;None;Ingenieurs en aanverwante technische adviseurs, exclusief landmeters
664974788;31;38764995.0;17426281;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
413254246;34;38720571.0;20735605;Nee;None;Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)
416342905;80;38645365.0;29288911;Nee;None;Groothandel in farmaceutische producten
