ondnr, ,perc, ,score
200065765,    ,16.0,    ,D
200305493,    ,15.0,    ,D
204212714,    ,17.0,    ,D
206460639,    ,16.0,    ,D
207087872,    ,15.0,    ,D
213349124,    ,12.0,    ,D
213384063,    ,12.0,    ,D
214014167,    ,12.0,    ,D
218426974,    ,12.0,    ,D
218843678,    ,17.0,    ,D
219395192,    ,9.0,    ,D
367300594,    ,12.0,    ,D
400017112,    ,10.0,    ,D
400023545,    ,14.0,    ,D
400030077,    ,7.0,    ,D
400032156,    ,15.0,    ,D
400033047,    ,9.0,    ,D
400059078,    ,10.0,    ,D
400066701,    ,6.0,    ,D
400069570,    ,6.0,    ,D
400070263,    ,13.0,    ,D
400071550,    ,7.0,    ,D
400076795,    ,6.0,    ,D
400079072,    ,5.0,    ,D
400079171,    ,5.0,    ,D
400080260,    ,5.0,    ,D
400089465,    ,10.0,    ,D
400089663,    ,11.0,    ,D
400093524,    ,11.0,    ,D
400094514,    ,6.0,    ,D
400095702,    ,0.0,    ,D
400095801,    ,0.0,    ,D
400097680,    ,2.0,    ,D
400098274,    ,10.0,    ,D
400100353,    ,25.0,    ,C
400101937,    ,7.0,    ,D
400104610,    ,0.0,    ,D
400114805,    ,10.0,    ,D
400115694,    ,5.0,    ,D
400117773,    ,7.0,    ,D
400119258,    ,15.0,    ,D
400120050,    ,8.0,    ,D
400120446,    ,5.0,    ,D
400120842,    ,8.0,    ,D
400124208,    ,15.0,    ,D
400125790,    ,11.0,    ,D
400131532,    ,9.0,    ,D
400133017,    ,5.0,    ,D
400136282,    ,9.0,    ,D
400140539,    ,6.0,    ,D
400143608,    ,15.0,    ,D
400151427,    ,11.0,    ,D
400151724,    ,8.0,    ,D
400152615,    ,6.0,    ,D
400156078,    ,2.0,    ,D
400156177,    ,7.0,    ,D
400157266,    ,1.0,    ,D
400173894,    ,11.0,    ,D
400180131,    ,8.0,    ,D
400183297,    ,6.0,    ,D
400186069,    ,15.0,    ,D
400191910,    ,5.0,    ,D
400199828,    ,15.0,    ,D
400207251,    ,6.0,    ,D
400218337,    ,5.0,    ,D
400229522,    ,7.0,    ,D
400244170,    ,6.0,    ,D
400244665,    ,14.0,    ,D
400251593,    ,5.0,    ,D
400258226,    ,9.0,    ,D
400268025,    ,9.0,    ,D
400271884,    ,0.0,    ,D
400276735,    ,8.0,    ,D
400281881,    ,2.0,    ,D
400288316,    ,6.0,    ,D
400289108,    ,5.0,    ,D
400296828,    ,5.0,    ,D
400297521,    ,6.0,    ,D
400299501,    ,10.0,    ,D
400299994,    ,5.0,    ,D
400306726,    ,6.0,    ,D
400311179,    ,10.0,    ,D
400311476,    ,5.0,    ,D
400313852,    ,8.0,    ,D
400320879,    ,8.0,    ,D
400323156,    ,11.0,    ,D
400330084,    ,7.0,    ,D
400330282,    ,2.0,    ,D
400331173,    ,13.0,    ,D
