ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0204212714;2;0;0;4;2;6;5;0;1;0;0;2;3;63;1;0;0
0213349124;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0
0219395192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400131532;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0400133017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400151724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400481326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400526955;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
0400630685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400669980;0;0;0;32;0;2;0;0;0;0;0;0;0;6;0;0;0
0400703931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400730655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400732338;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0
0400761735;0;0;0;0;0;0;0;0;0;0;0;0;12;4;0;0;0
0400765693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400768069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400772326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400787667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400791231;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400793706;0;0;0;2;0;2;4;0;0;0;0;0;1;0;0;0;0
0400797169;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0400803505;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0
0400808156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400813304;0;0;0;14;0;2;0;0;0;0;0;0;1;1;0;0;0
0400817559;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
0400818747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400823103;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0
0400823794;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
0400828546;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0400833296;0;0;0;4;0;0;55;0;0;0;0;0;0;0;0;0;0
0400841315;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
0400844778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400845669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400888033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400944352;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0
0401230897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401546445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401906236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401955033;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0
0401956815;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
0402043323;0;0;0;0;0;0;42;0;0;0;0;0;21;0;0;0;0
0402056882;0;0;0;0;0;0;13;0;0;0;0;0;9;0;0;0;0
0402166453;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0
0402195256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402610970;0;0;0;0;0;8;78;0;0;0;0;0;4;0;0;0;0
0402777157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402867427;0;0;0;0;14;0;0;0;0;0;0;0;5;0;0;0;0
0402903653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402980659;0;0;0;0;0;1;0;0;0;0;0;0;14;0;0;0;0
0403020350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403060140;0;0;0;8;1;0;0;0;0;0;0;0;12;0;0;0;0
0403086468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403449823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403470906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403471005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403495353;0;0;0;0;0;17;0;0;0;0;2;0;1;0;0;0;0
0403506340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403613337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403613634;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;1;0
0403621057;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0
0403629965;0;0;2;7;2;29;4;0;0;0;0;0;6;0;0;2;0
0403630460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
