ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0832602171;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0402891577;1;0;0;6;1;0;0;0;0;0;0;0;1;0;0;0;0
0876344520;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0473193219;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0860353277;1;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0
0401874760;1;0;0;5;0;1;0;0;0;0;0;0;2;0;0;0;0
0846855431;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0
0400704624;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0402475962;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0462285469;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0835040138;1;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0
0434815960;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0
0451787990;1;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0
0408463337;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0
0479966787;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0403114380;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0883914874;1;0;0;5;0;0;0;0;0;0;0;0;4;0;0;0;0
0423029569;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0405839783;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0405670727;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0425053802;1;0;0;9;0;0;1;0;0;0;0;0;3;0;0;0;0
0451428496;1;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0
0400617324;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0644938548;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0400618710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400924952;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0466288601;1;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0
0440795120;1;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0
0866763393;1;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0
0821129645;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0830910611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0478391924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0455883073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0441665942;1;0;0;8;0;0;0;0;0;0;0;0;2;0;0;0;0
0403075481;1;0;0;12;0;2;1;0;0;0;0;0;7;2;0;0;0
0845858707;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0424188423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0460802557;1;0;0;5;2;0;0;0;0;0;0;0;1;0;0;0;0
0474708991;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0403048064;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0403181686;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0457151892;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0
0895469554;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0432392544;1;0;0;5;0;2;0;0;0;0;0;0;0;1;0;0;0
0438398032;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0412595735;1;0;0;7;0;2;0;0;0;0;0;0;2;0;0;0;0
0835959064;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
0861469371;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0441532023;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
0461882326;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
0841648610;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0
0426246407;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0
0881901036;1;0;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0
0455064414;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0476282965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0432284161;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0421435405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404889282;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0428769494;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0
0403769032;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
0883315652;1;0;0;9;0;0;1;0;0;0;0;0;2;0;0;0;0
