ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0200065765;0;0;1;2;0;2;0;0;0;0;0;2;3;0;2;0;0
0200305493;0;0;0;0;0;3;0;0;0;0;0;0;1;3;1;0;0
0204212714;0;0;0;0;0;0;1;0;1;3;0;2;1;1;2;1;0
0206460639;0;0;0;0;0;2;0;0;1;0;2;2;2;1;1;0;0
0207087872;0;0;0;0;2;1;0;0;0;0;0;0;0;3;0;0;0
0213349124;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0
0213384063;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0
0214014167;0;0;0;0;1;1;0;0;0;0;0;1;1;3;0;0;0
0218426974;0;0;0;0;2;1;0;0;0;0;0;0;0;3;0;0;0
0218843678;0;0;0;0;1;2;0;0;0;0;2;2;4;1;1;0;0
0219395192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0367300594;0;0;0;0;1;1;1;0;0;0;0;0;3;0;0;0;0
0400017112;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
0400023545;0;0;0;1;0;2;1;0;0;0;0;0;3;1;0;0;0
0400030077;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400032156;1;0;0;2;1;2;1;0;0;0;0;0;2;1;0;0;0
0400033047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400059078;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0
0400066701;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400069570;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0400070263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400071550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400076795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400079072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400079171;1;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0
0400080260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400089465;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0400089663;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
0400093524;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0
0400094514;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400095702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400095801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400097680;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0400098274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400100353;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0400101937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400104610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400114805;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
0400115694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400117773;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0400119258;0;0;0;2;2;3;1;0;0;0;0;0;1;2;0;0;0
0400120050;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0400120446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400120842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400124208;0;0;0;0;2;0;0;0;0;0;0;2;2;3;1;0;0
0400125790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400131532;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0
0400133017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400136282;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
0400140539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400143608;1;0;0;1;0;2;0;0;1;0;0;0;2;1;0;0;0
0400151427;0;0;0;0;0;1;0;0;1;0;0;0;2;1;0;0;0
0400151724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400152615;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0400156078;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0400156177;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
0400157266;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0400173894;0;0;0;1;0;1;1;0;0;0;2;0;1;0;0;0;0
0400180131;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
0400183297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400186069;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
0400191910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400199828;0;0;0;0;2;0;1;0;0;0;2;2;3;0;0;0;0
0400207251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400218337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400229522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400244170;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0400244665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400251593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400258226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400268025;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0
0400271884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400276735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400281881;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0400288316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400289108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400296828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400297521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400299501;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
0400299994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400306726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400311179;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
0400311476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400313852;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0400320879;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
0400323156;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400330084;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0400330282;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
0400331173;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0
0400335826;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0400335925;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
0400457273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400481326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400526955;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400630685;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0400669980;1;0;0;1;0;2;0;0;0;0;0;0;1;1;0;0;0
0400703931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400730655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400732338;0;0;0;1;0;0;2;0;0;0;0;0;3;0;0;0;0
0400750847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400761735;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0400765693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400768069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400772326;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
0400784303;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0400787667;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0400791231;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400793706;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0
0400797169;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
0400803505;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0
0400808156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400813304;0;0;0;0;1;2;0;0;1;0;0;0;2;1;0;0;0
0400818747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400823103;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
0400823794;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0400828546;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400833296;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0
0400841315;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400844778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400845669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400857052;1;0;0;1;2;3;0;0;0;0;0;0;0;1;1;0;0
0400865762;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0400888033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400932573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400942768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400944352;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
0400945045;0;0;0;0;2;0;1;0;0;0;2;2;3;0;0;0;0
0400954250;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0
0400954844;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0400962465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0400964742;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0400974739;0;0;0;3;0;2;3;0;0;0;0;0;0;2;0;0;0
0400975432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401004334;0;0;0;1;0;2;0;0;0;0;2;1;1;1;0;0;0
0401005027;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0401005819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401007106;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0401021457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401033236;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0401038283;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0
0401044124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401044520;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0401044619;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0401048973;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
0401052240;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
0401064712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401065997;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0
0401068769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401069165;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401071442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401073422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401084409;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
0401087377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401091040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401230897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401276825;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
0401279201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401282169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401289988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401302757;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0401303450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401304737;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
0401305133;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
